domain	cloudflare_id
2k.com	100
2k.com	7
33across.com	75
33across.com	3
33across.com	155
33across.com	26
360yield.com	155
360yield.com	26
3lift.com	75
3lift.com	3
ad-score.com	81
ad-score.com	26
ad.gt	66
ad.gt	1
adentifi.com	81
adentifi.com	26
adform.net	81
adform.net	26
adingo.jp	75
adingo.jp	3
admatrix.jp	75
admatrix.jp	3
admixer.net	75
admixer.net	3
admixer.net	155
admixer.net	26
adnami.io	75
adnami.io	3
adnxs.com	81
adnxs.com	26
adsafeprotected.com	66
adsafeprotected.com	1
adsrvr.org	66
adsrvr.org	1
adthrive.com	75
adthrive.com	3
advividnetwork.com	75
advividnetwork.com	3
advividnetwork.com	155
advividnetwork.com	26
aggregation-service-site-dot-clz200258-datateam-italy.ew.r.appspot.com	-10
anonymised.io	155
anonymised.io	26
anonymised.io	75
anonymised.io	3
appier.net	75
appier.net	3
artistunited.com	75
artistunited.com	3
avads.net	81
avads.net	26
ayads.io	115
ayads.io	15
bidswitch.net	155
bidswitch.net	26
bidtheatre.net	-10
bing.com	145
bing.com	26
blendee.com	75
blendee.com	3
blendee.com	155
blendee.com	26
blendee.com	160
blendee.com	27
bounceexchange.com	75
bounceexchange.com	3
btloader.com	81
btloader.com	26
bypass.jp	75
bypass.jp	3
casalemedia.com	75
casalemedia.com	3
casalemedia.com	155
casalemedia.com	26
cdn-net.com	81
cdn-net.com	26
clickonometrics.pl	66
clickonometrics.pl	1
connected-stories.com	75
connected-stories.com	3
crcldu.com	81
crcldu.com	26
creativecdn.com	81
creativecdn.com	26
criteo.com	75
criteo.com	3
ctnsnet.com	81
ctnsnet.com	26
dabbs.net	129
dabbs.net	12
daum.net	164
daum.net	7
daum.net	122
daum.net	7
display.io	75
display.io	3
dotdashmeredith.com	116
dotdashmeredith.com	7
dotdashmeredith.com	75
dotdashmeredith.com	3
dotomi.com	75
dotomi.com	3
doubleclick.net	66
doubleclick.net	1
dynalyst.jp	81
dynalyst.jp	26
edkt.io	81
edkt.io	26
effinity.fr	155
effinity.fr	26
effinity.fr	75
effinity.fr	3
ezoic.com	75
ezoic.com	3
ezoic.com	155
ezoic.com	26
fanbyte.com	100
fanbyte.com	7
flashtalking.com	75
flashtalking.com	3
fout.jp	75
fout.jp	3
funplus.com	100
funplus.com	7
fwmrm.net	75
fwmrm.net	3
gama.globo	75
gama.globo	3
ghtinc.com	155
ghtinc.com	26
gmossp-sp.jp	66
gmossp-sp.jp	1
google-analytics.com	75
google-analytics.com	3
google-analytics.com	155
google-analytics.com	26
gsspat.jp	81
gsspat.jp	26
gumgum.com	155
gumgum.com	26
gumgum.com	75
gumgum.com	3
guoshipartners.com	66
guoshipartners.com	1
html-load.com	81
html-load.com	26
im-apps.net	81
im-apps.net	26
impact-ad.jp	66
impact-ad.jp	1
imrworldwide.com	81
imrworldwide.com	26
indexww.com	81
indexww.com	26
inmobi.com	75
inmobi.com	3
innovid.com	75
innovid.com	3
jivox.com	75
