date,client,id,rank,num_urls,total_urls
2021-03-01,desktop,3278,,8,6270545
2021-04-01,desktop,3278,,3,6242687
2021-04-01,mobile,3278,,5,7205381
2021-05-01,desktop,2789,,1,6389672
2021-05-01,desktop,3116,,1,6389672
2021-05-01,desktop,2791,,1,6389672
2021-05-01,desktop,2792,,1,6389672
2021-05-01,desktop,3278,,5,6389672
2021-05-01,desktop,3273,,1,6389672
2021-05-01,desktop,2790,,1,6389672
2021-05-01,desktop,3189,,1,6389672
2021-05-01,mobile,3116,,1,7364482
2021-05-01,mobile,2792,,1,7364482
2021-05-01,mobile,2791,,1,7364482
2021-05-01,mobile,3189,,1,7364482
2021-05-01,mobile,3273,,1,7364482
2021-05-01,mobile,2789,,1,7364482
2021-05-01,mobile,2790,,1,7364482
2021-05-01,mobile,3278,,6,7364482
2021-06-01,desktop,3365,,117,6435567
2021-06-01,desktop,2790,,2,6435567
2021-06-01,desktop,3278,,4,6435567
2021-06-01,desktop,2792,,2,6435567
2021-06-01,desktop,3116,,2,6435567
2021-06-01,desktop,2791,,2,6435567
2021-06-01,desktop,3189,,2,6435567
2021-06-01,desktop,2789,,2,6435567
2021-06-01,desktop,3273,,2,6435567
2021-06-01,mobile,2791,,1,7452047
2021-06-01,mobile,3273,,1,7452047
2021-06-01,mobile,3116,,1,7452047
2021-06-01,mobile,2789,,1,7452047
2021-06-01,mobile,3278,,7,7452047
2021-06-01,mobile,3365,,111,7452047
2021-06-01,mobile,2790,,1,7452047
2021-06-01,mobile,2792,,1,7452047
2021-06-01,mobile,3189,,1,7452047
2021-07-01,desktop,2790,,2,6294605
2021-07-01,desktop,3365,,105,6294605
2021-07-01,desktop,2789,,2,6294605
2021-07-01,desktop,3278,,12,6294605
2021-07-01,desktop,2792,,2,6294605
2021-07-01,desktop,3116,,2,6294605
2021-07-01,desktop,3189,,2,6294605
2021-07-01,desktop,2791,,2,6294605
2021-07-01,desktop,3273,,2,6294605
2021-07-01,mobile,3189,,7,7499763
2021-07-01,mobile,2792,,8,7499763
2021-07-01,mobile,2790,,1,7499763
2021-07-01,mobile,3365,,93,7499763
