api	date	client	is_root_page	page	rank	rank_grouping	total_pages	percentage
Attribution Reporting	2021-06-01	desktop	True	1	1000	1000	788	0.12690355329949238
Attribution Reporting	2021-06-01	mobile	True	1	1000	1000	911	0.10976948408342481
Attribution Reporting	2021-07-01	desktop	True	1	1000	1000	785	0.12738853503184713
Attribution Reporting	2021-07-01	mobile	True	1	1000	1000	923	0.10834236186348861
Attribution Reporting	2021-12-01	desktop	True	1	1000	1000	742	0.13477088948787064
Attribution Reporting	2021-12-01	mobile	True	1	1000	1000	928	0.10775862068965517
Attribution Reporting	2022-01-01	desktop	True	1	1000	1000	740	0.13513513513513514
Attribution Reporting	2022-01-01	mobile	True	1	1000	1000	927	0.10787486515641855
Attribution Reporting	2024-05-01	desktop	False	126	1000	1000	545	23.119266055045873
Attribution Reporting	2024-05-01	desktop	True	21	1000	1000	622	3.376205787781351
Attribution Reporting	2024-05-01	mobile	False	145	1000	1000	669	21.674140508221225
Attribution Reporting	2024-05-01	mobile	True	52	1000	1000	773	6.727037516170762
Attribution Reporting	2024-06-01	desktop	False	152	1000	1000	561	27.094474153297682
Attribution Reporting	2024-06-01	desktop	True	146	1000	1000	632	23.10126582278481
Attribution Reporting	2024-06-01	mobile	False	174	1000	1000	682	25.513196480938415
Attribution Reporting	2024-06-01	mobile	True	170	1000	1000	771	22.04928664072633
Attribution Reporting	2024-07-01	desktop	False	150	1000	1000	559	26.833631484794275
Attribution Reporting	2024-07-01	desktop	True	159	1000	1000	632	25.158227848101266
Attribution Reporting	2024-07-01	mobile	False	168	1000	1000	700	24.0
Attribution Reporting	2024-07-01	mobile	True	178	1000	1000	792	22.474747474747474
Attribution Reporting	2024-08-01	desktop	False	149	1000	1000	568	26.23239436619718
Attribution Reporting	2024-08-01	desktop	True	156	1000	1000	640	24.375
Attribution Reporting	2024-08-01	mobile	False	173	1000	1000	716	24.162011173184357
Attribution Reporting	2024-08-01	mobile	True	183	1000	1000	799	22.90362953692115
Attribution Reporting	2024-09-01	desktop	False	153	1000	1000	540	28.333333333333332
Attribution Reporting	2024-09-01	desktop	True	159	1000	1000	618	25.728155339805824
Attribution Reporting	2024-09-01	mobile	False	181	1000	1000	695	26.0431654676259
Attribution Reporting	2024-09-01	mobile	True	171	1000	1000	779	21.951219512195124
Attribution Reporting	2024-10-01	desktop	False	141	1000	1000	549	25.683060109289617
Attribution Reporting	2024-10-01	desktop	True	149	1000	1000	623	23.91653290529695
Attribution Reporting	2024-10-01	mobile	False	181	1000	1000	711	25.457102672292546
Attribution Reporting	2024-10-01	mobile	True	156	1000	1000	785	19.872611464968156
Attribution Reporting	2024-11-01	desktop	False	152	1000	1000	554	27.436823104693143
Attribution Reporting	2024-11-01	desktop	True	147	1000	1000	634	23.186119873817034
Attribution Reporting	2024-11-01	mobile	False	176	1000	1000	717	24.546722454672246
Attribution Reporting	2024-11-01	mobile	True	165	1000	1000	790	20.88607594936709
Attribution Reporting	2024-12-01	desktop	False	164	1000	1000	571	28.7215411558669
Attribution Reporting	2024-12-01	desktop	True	161	1000	1000	646	24.922600619195045
Attribution Reporting	2024-12-01	mobile	False	177	1000	1000	733	24.147339699863572
Attribution Reporting	2024-12-01	mobile	True	166	1000	1000	806	20.595533498759306
Attribution Reporting	2025-01-01	desktop	False	145	1000	1000	537	27.001862197392924
Attribution Reporting	2025-01-01	desktop	True	136	1000	1000	609	22.33169129720854
Attribution Reporting	2025-01-01	mobile	False	161	1000	1000	690	23.333333333333332
Attribution Reporting	2025-01-01	mobile	True	149	1000	1000	770	19.350649350649352
Attribution Reporting	2025-02-01	desktop	False	151	1000	1000	568	26.58450704225352
Attribution Reporting	2025-02-01	desktop	True	144	1000	1000	639	22.535211267605636
Attribution Reporting	2025-02-01	mobile	False	158	1000	1000	701	22.53922967189729
Attribution Reporting	2025-02-01	mobile	True	154	1000	1000	779	19.768934531450576
Attribution Reporting	2025-03-01	desktop	False	136	1000	1000	576	23.61111111111111
Attribution Reporting	2025-03-01	desktop	True	148	1000	1000	646	22.910216718266255
Attribution Reporting	2025-03-01	mobile	False	169	1000	1000	708	23.870056497175142
Attribution Reporting	2025-03-01	mobile	True	152	1000	1000	785	19.363057324840767
Attribution Reporting	2025-04-01	desktop	False	140	1000	1000	567	24.691358024691358
Attribution Reporting	2025-04-01	desktop	True	147	1000	1000	648	22.685185185185187
Attribution Reporting	2025-04-01	mobile	False	163	1000	1000	698	23.35243553008596
Attribution Reporting	2025-04-01	mobile	True	148	1000	1000	782	18.925831202046037
Attribution Reporting	2025-05-01	desktop	False	133	1000	1000	563	23.623445825932503
Attribution Reporting	2025-05-01	desktop	True	134	1000	1000	635	21.102362204724407
Attribution Reporting	2025-05-01	mobile	False	159	1000	1000	706	22.521246458923514
Attribution Reporting	2025-05-01	mobile	True	157	1000	1000	786	19.974554707379134
Attribution Reporting	2025-06-01	desktop	False	163	1000	1000	558	29.211469534050178
Attribution Reporting	2025-06-01	desktop	True	155	1000	1000	622	24.919614147909968
Attribution Reporting	2025-06-01	mobile	False	168	1000	1000	693	24.242424242424242
Attribution Reporting	2025-06-01	mobile	True	169	1000	1000	774	21.834625322997418
Attribution Reporting	2025-07-01	desktop	False	118	1000	1000	568	20.774647887323944
Attribution Reporting	2025-07-01	desktop	True	115	1000	1000	633	18.167456556082147
Attribution Reporting	2025-07-01	mobile	False	129	1000	1000	696	18.53448275862069
Attribution Reporting	2025-07-01	mobile	True	120	1000	1000	790	15.18987341772152
Attribution Reporting	2025-08-01	desktop	False	117	1000	1000	560	20.892857142857142
Attribution Reporting	2025-08-01	desktop	True	107	1000	1000	623	17.174959871589085
Attribution Reporting	2025-08-01	mobile	False	122	1000	1000	671	18.181818181818183
Attribution Reporting	2025-08-01	mobile	True	128	1000	1000	767	16.6883963494133
Attribution Reporting	2025-09-01	desktop	False	106	1000	1000	550	19.272727272727273
Attribution Reporting	2025-09-01	desktop	True	104	1000	1000	614	16.938110749185668
Attribution Reporting	2025-09-01	mobile	False	126	1000	1000	681	18.502202643171806
Attribution Reporting	2025-09-01	mobile	True	115	1000	1000	769	14.954486345903772
Attribution Reporting	2025-10-01	desktop	False	102	1000	1000	540	18.88888888888889
Attribution Reporting	2025-10-01	desktop	True	97	1000	1000	612	15.849673202614378
Attribution Reporting	2025-10-01	mobile	False	110	1000	1000	666	16.516516516516518
Attribution Reporting	2025-10-01	mobile	True	110	1000	1000	758	14.511873350923482
Attribution Reporting	2025-11-01	desktop	False	90	1000	1000	556	16.18705035971223
Attribution Reporting	2025-11-01	desktop	True	93	1000	1000	627	14.832535885167463
Attribution Reporting	2025-11-01	mobile	False	107	1000	1000	685	15.62043795620438
Attribution Reporting	2025-11-01	mobile	True	101	1000	1000	772	13.082901554404144
Attribution Reporting	2025-12-01	desktop	False	47	1000	1000	564	8.333333333333332
Attribution Reporting	2025-12-01	desktop	True	83	1000	1000	626	13.258785942492013
Attribution Reporting	2025-12-01	mobile	False	52	1000	1000	681	7.63582966226138
Attribution Reporting	2025-12-01	mobile	True	73	1000	1000	769	9.492847854356306
Attribution Reporting	2026-01-01	desktop	False	61	1000	1000	544	11.213235294117647
Attribution Reporting	2026-01-01	desktop	True	48	1000	1000	609	7.8817733990147785
Attribution Reporting	2026-01-01	mobile	False	70	1000	1000	673	10.401188707280832
Attribution Reporting	2026-01-01	mobile	True	53	1000	1000	761	6.964520367936925
Attribution Reporting	2026-02-01	desktop	False	93	1000	1000	568	16.37323943661972
Attribution Reporting	2026-02-01	desktop	True	101	1000	1000	633	15.955766192733018
Attribution Reporting	2026-02-01	mobile	False	102	1000	1000	687	14.847161572052403
Attribution Reporting	2026-02-01	mobile	True	117	1000	1000	777	15.057915057915059
Attribution Reporting	2026-03-01	desktop	False	74	1000	1000	563	13.143872113676732
Attribution Reporting	2026-03-01	desktop	True	84	1000	1000	637	13.186813186813188
Attribution Reporting	2026-03-01	mobile	False	74	1000	1000	672	11.011904761904761
Attribution Reporting	2026-03-01	mobile	True	80	1000	1000	773	10.34928848641656
Attribution Reporting	2026-04-01	desktop	False	67	1000	1000	557	12.028725314183124
Attribution Reporting	2026-04-01	desktop	True	80	1000	1000	636	12.578616352201259
Attribution Reporting	2026-04-01	mobile	False	64	1000	1000	680	9.411764705882353
Attribution Reporting	2026-04-01	mobile	True	74	1000	1000	778	9.511568123393316
FedCM	2023-11-01	desktop	False	1	1000	1000	622	0.1607717041800643
FedCM	2023-11-01	mobile	False	1	1000	1000	738	0.13550135501355012
FedCM	2023-12-01	desktop	False	4	1000	1000	575	0.6956521739130435
FedCM	2023-12-01	desktop	True	2	1000	1000	649	0.30816640986132515
FedCM	2023-12-01	mobile	False	1	1000	1000	694	0.1440922190201729
FedCM	2023-12-01	mobile	True	1	1000	1000	786	0.1272264631043257
FedCM	2024-01-01	desktop	False	1	1000	1000	565	0.17699115044247787
FedCM	2024-01-01	desktop	True	1	1000	1000	626	0.1597444089456869
FedCM	2024-01-01	mobile	False	1	1000	1000	692	0.1445086705202312
FedCM	2024-01-01	mobile	True	1	1000	1000	792	0.12626262626262627
FedCM	2024-02-01	desktop	False	3	1000	1000	558	0.5376344086021506
FedCM	2024-02-01	desktop	True	2	1000	1000	624	0.3205128205128205
FedCM	2024-02-01	mobile	False	2	1000	1000	676	0.2958579881656805
FedCM	2024-02-01	mobile	True	4	1000	1000	772	0.5181347150259068
FedCM	2024-03-01	desktop	False	2	1000	1000	573	0.34904013961605584
FedCM	2024-03-01	desktop	True	3	1000	1000	646	0.46439628482972134
FedCM	2024-03-01	mobile	False	2	1000	1000	685	0.291970802919708
FedCM	2024-03-01	mobile	True	3	1000	1000	782	0.3836317135549872
FedCM	2024-04-01	desktop	False	23	1000	1000	578	3.9792387543252596
FedCM	2024-04-01	desktop	True	25	1000	1000	636	3.930817610062893
FedCM	2024-04-01	mobile	False	16	1000	1000	689	2.3222060957910013
FedCM	2024-04-01	mobile	True	17	1000	1000	777	2.187902187902188
FedCM	2024-05-01	desktop	False	20	1000	1000	545	3.669724770642202
FedCM	2024-05-01	desktop	True	31	1000	1000	622	4.983922829581994
FedCM	2024-05-01	mobile	False	15	1000	1000	669	2.242152466367713
FedCM	2024-05-01	mobile	True	22	1000	1000	773	2.846054333764554
FedCM	2024-06-01	desktop	False	23	1000	1000	561	4.09982174688057
FedCM	2024-06-01	desktop	True	36	1000	1000	632	5.69620253164557
FedCM	2024-06-01	mobile	False	19	1000	1000	682	2.785923753665689
FedCM	2024-06-01	mobile	True	28	1000	1000	771	3.631647211413749
FedCM	2024-07-01	desktop	False	37	1000	1000	559	6.618962432915922
FedCM	2024-07-01	desktop	True	44	1000	1000	632	6.962025316455696
FedCM	2024-07-01	mobile	False	28	1000	1000	700	4.0
FedCM	2024-07-01	mobile	True	36	1000	1000	792	4.545454545454546
FedCM	2024-08-01	desktop	False	36	1000	1000	568	6.338028169014084
FedCM	2024-08-01	desktop	True	46	1000	1000	640	7.187499999999999
FedCM	2024-08-01	mobile	False	29	1000	1000	716	4.050279329608938
FedCM	2024-08-01	mobile	True	33	1000	1000	799	4.130162703379224
FedCM	2024-09-01	desktop	False	39	1000	1000	540	7.222222222222221
FedCM	2024-09-01	desktop	True	46	1000	1000	618	7.443365695792881
FedCM	2024-09-01	mobile	False	33	1000	1000	695	4.748201438848921
FedCM	2024-09-01	mobile	True	38	1000	1000	779	4.878048780487805
FedCM	2024-10-01	desktop	False	33	1000	1000	549	6.0109289617486334
FedCM	2024-10-01	desktop	True	43	1000	1000	623	6.902086677367576
FedCM	2024-10-01	mobile	False	21	1000	1000	711	2.9535864978902953
FedCM	2024-10-01	mobile	True	35	1000	1000	785	4.45859872611465
FedCM	2024-11-01	desktop	False	33	1000	1000	554	5.956678700361011
FedCM	2024-11-01	desktop	True	44	1000	1000	634	6.940063091482649
FedCM	2024-11-01	mobile	False	26	1000	1000	717	3.626220362622036
FedCM	2024-11-01	mobile	True	33	1000	1000	790	4.177215189873418
FedCM	2024-12-01	desktop	False	28	1000	1000	571	4.903677758318739
FedCM	2024-12-01	desktop	True	40	1000	1000	646	6.191950464396285
FedCM	2024-12-01	mobile	False	25	1000	1000	733	3.4106412005457027
FedCM	2024-12-01	mobile	True	32	1000	1000	806	3.970223325062035
FedCM	2025-01-01	desktop	False	29	1000	1000	537	5.400372439478584
FedCM	2025-01-01	desktop	True	39	1000	1000	609	6.403940886699508
FedCM	2025-01-01	mobile	False	27	1000	1000	690	3.91304347826087
FedCM	2025-01-01	mobile	True	31	1000	1000	770	4.025974025974026
FedCM	2025-02-01	desktop	False	33	1000	1000	568	5.809859154929577
FedCM	2025-02-01	desktop	True	44	1000	1000	639	6.885758998435055
FedCM	2025-02-01	mobile	False	26	1000	1000	701	3.7089871611982885
FedCM	2025-02-01	mobile	True	31	1000	1000	779	3.979460847240052
FedCM	2025-03-01	desktop	False	32	1000	1000	576	5.555555555555555
FedCM	2025-03-01	desktop	True	42	1000	1000	646	6.5015479876160995
FedCM	2025-03-01	mobile	False	29	1000	1000	708	4.096045197740112
FedCM	2025-03-01	mobile	True	34	1000	1000	785	4.3312101910828025
FedCM	2025-04-01	desktop	False	33	1000	1000	567	5.82010582010582
FedCM	2025-04-01	desktop	True	46	1000	1000	648	7.098765432098765
FedCM	2025-04-01	mobile	False	27	1000	1000	698	3.8681948424068766
FedCM	2025-04-01	mobile	True	36	1000	1000	782	4.603580562659847
FedCM	2025-05-01	desktop	False	32	1000	1000	563	5.683836589698046
FedCM	2025-05-01	desktop	True	41	1000	1000	635	6.456692913385827
FedCM	2025-05-01	mobile	False	30	1000	1000	706	4.2492917847025495
FedCM	2025-05-01	mobile	True	35	1000	1000	786	4.4529262086514
FedCM	2025-06-01	desktop	False	37	1000	1000	558	6.630824372759856
FedCM	2025-06-01	desktop	True	52	1000	1000	622	8.360128617363344
FedCM	2025-06-01	mobile	False	36	1000	1000	693	5.194805194805195
FedCM	2025-06-01	mobile	True	44	1000	1000	774	5.684754521963824
