date	client	is_root_page	page	rank	rank_grouping	total_pages	percentage	feature
2024-09-01	desktop	False	246	1000	1000	540	45.55555555555556	kPrivacySandboxAdsAPIs
2024-09-01	desktop	True	248	1000	1000	618	40.1294498381877	kPrivacySandboxAdsAPIs
2024-09-01	mobile	False	292	1000	1000	695	42.014388489208635	kPrivacySandboxAdsAPIs
2024-09-01	mobile	True	285	1000	1000	779	36.58536585365854	kPrivacySandboxAdsAPIs
2024-10-01	desktop	False	230	1000	1000	549	41.8943533697632	kPrivacySandboxAdsAPIs
2024-10-01	desktop	True	237	1000	1000	623	38.04173354735153	kPrivacySandboxAdsAPIs
2024-10-01	mobile	False	282	1000	1000	711	39.66244725738397	kPrivacySandboxAdsAPIs
2024-10-01	mobile	True	275	1000	1000	785	35.03184713375796	kPrivacySandboxAdsAPIs
2024-11-01	desktop	False	234	1000	1000	554	42.238267148014444	kPrivacySandboxAdsAPIs
2024-11-01	desktop	True	242	1000	1000	634	38.170347003154575	kPrivacySandboxAdsAPIs
2024-11-01	mobile	False	294	1000	1000	717	41.00418410041841	kPrivacySandboxAdsAPIs
2024-11-01	mobile	True	278	1000	1000	790	35.189873417721515	kPrivacySandboxAdsAPIs
2024-12-01	desktop	False	248	1000	1000	571	43.43257443082312	kPrivacySandboxAdsAPIs
2024-12-01	desktop	True	251	1000	1000	646	38.85448916408669	kPrivacySandboxAdsAPIs
2024-12-01	mobile	False	297	1000	1000	733	40.518417462482944	kPrivacySandboxAdsAPIs
2024-12-01	mobile	True	278	1000	1000	806	34.49131513647642	kPrivacySandboxAdsAPIs
2025-01-01	desktop	False	237	1000	1000	537	44.134078212290504	kPrivacySandboxAdsAPIs
2025-01-01	desktop	True	241	1000	1000	609	39.57307060755337	kPrivacySandboxAdsAPIs
2025-01-01	mobile	False	289	1000	1000	690	41.88405797101449	kPrivacySandboxAdsAPIs
2025-01-01	mobile	True	276	1000	1000	770	35.84415584415584	kPrivacySandboxAdsAPIs
2025-02-01	desktop	False	256	1000	1000	568	45.07042253521127	kPrivacySandboxAdsAPIs
2025-02-01	desktop	True	247	1000	1000	639	38.654147104851326	kPrivacySandboxAdsAPIs
2025-02-01	mobile	False	288	1000	1000	701	41.08416547788873	kPrivacySandboxAdsAPIs
2025-02-01	mobile	True	282	1000	1000	779	36.2002567394095	kPrivacySandboxAdsAPIs
2025-03-01	desktop	False	244	1000	1000	576	42.36111111111111	kPrivacySandboxAdsAPIs
2025-03-01	desktop	True	243	1000	1000	646	37.61609907120743	kPrivacySandboxAdsAPIs
2025-03-01	mobile	False	291	1000	1000	708	41.10169491525424	kPrivacySandboxAdsAPIs
2025-03-01	mobile	True	279	1000	1000	785	35.54140127388535	kPrivacySandboxAdsAPIs
2025-04-01	desktop	False	240	1000	1000	567	42.32804232804233	kPrivacySandboxAdsAPIs
2025-04-01	desktop	True	241	1000	1000	648	37.191358024691354	kPrivacySandboxAdsAPIs
2025-04-01	mobile	False	285	1000	1000	698	40.83094555873926	kPrivacySandboxAdsAPIs
2025-04-01	mobile	True	277	1000	1000	782	35.42199488491048	kPrivacySandboxAdsAPIs
2025-05-01	desktop	False	239	1000	1000	563	42.45115452930728	kPrivacySandboxAdsAPIs
2025-05-01	desktop	True	237	1000	1000	635	37.32283464566929	kPrivacySandboxAdsAPIs
2025-05-01	mobile	False	283	1000	1000	706	40.084985835694056	kPrivacySandboxAdsAPIs
2025-05-01	mobile	True	286	1000	1000	786	36.38676844783715	kPrivacySandboxAdsAPIs
2025-06-01	desktop	False	234	1000	1000	558	41.935483870967744	kPrivacySandboxAdsAPIs
2025-06-01	desktop	True	231	1000	1000	622	37.138263665594856	kPrivacySandboxAdsAPIs
2025-06-01	mobile	False	282	1000	1000	693	40.692640692640694	kPrivacySandboxAdsAPIs
2025-06-01	mobile	True	292	1000	1000	774	37.72609819121447	kPrivacySandboxAdsAPIs
2025-07-01	desktop	False	223	1000	1000	568	39.26056338028169	kPrivacySandboxAdsAPIs
2025-07-01	desktop	True	237	1000	1000	633	37.44075829383886	kPrivacySandboxAdsAPIs
2025-07-01	mobile	False	265	1000	1000	696	38.07471264367816	kPrivacySandboxAdsAPIs
2025-07-01	mobile	True	277	1000	1000	790	35.063291139240505	kPrivacySandboxAdsAPIs
2025-08-01	desktop	False	213	1000	1000	560	38.035714285714285	kPrivacySandboxAdsAPIs
2025-08-01	desktop	True	218	1000	1000	623	34.99197431781702	kPrivacySandboxAdsAPIs
2025-08-01	mobile	False	244	1000	1000	671	36.36363636363637	kPrivacySandboxAdsAPIs
2025-08-01	mobile	True	258	1000	1000	767	33.63754889178618	kPrivacySandboxAdsAPIs
2025-09-01	desktop	False	209	1000	1000	550	38.0	kPrivacySandboxAdsAPIs
2025-09-01	desktop	True	209	1000	1000	614	34.039087947882734	kPrivacySandboxAdsAPIs
2025-09-01	mobile	False	242	1000	1000	681	35.5359765051395	kPrivacySandboxAdsAPIs
2025-09-01	mobile	True	254	1000	1000	769	33.02990897269181	kPrivacySandboxAdsAPIs
2025-10-01	desktop	False	199	1000	1000	540	36.851851851851855	kPrivacySandboxAdsAPIs
2025-10-01	desktop	True	205	1000	1000	612	33.49673202614379	kPrivacySandboxAdsAPIs
2025-10-01	mobile	False	237	1000	1000	666	35.585585585585584	kPrivacySandboxAdsAPIs
2025-10-01	mobile	True	246	1000	1000	758	32.45382585751979	kPrivacySandboxAdsAPIs
2025-11-01	desktop	False	162	1000	1000	556	29.136690647482016	kPrivacySandboxAdsAPIs
2025-11-01	desktop	True	187	1000	1000	627	29.82456140350877	kPrivacySandboxAdsAPIs
2025-11-01	mobile	False	201	1000	1000	685	29.34306569343066	kPrivacySandboxAdsAPIs
2025-11-01	mobile	True	212	1000	1000	772	27.461139896373055	kPrivacySandboxAdsAPIs
2025-12-01	desktop	False	115	1000	1000	564	20.390070921985814	kPrivacySandboxAdsAPIs
2025-12-01	desktop	True	139	1000	1000	626	22.20447284345048	kPrivacySandboxAdsAPIs
2025-12-01	mobile	False	139	1000	1000	681	20.411160058737153	kPrivacySandboxAdsAPIs
2025-12-01	mobile	True	159	1000	1000	769	20.676202860858258	kPrivacySandboxAdsAPIs
2026-01-01	desktop	False	112	1000	1000	544	20.588235294117645	kPrivacySandboxAdsAPIs
2026-01-01	desktop	True	111	1000	1000	609	18.226600985221676	kPrivacySandboxAdsAPIs
2026-01-01	mobile	False	130	1000	1000	673	19.316493313521548	kPrivacySandboxAdsAPIs
