date	client	is_root_page	page	rank	rank_grouping	total_pages	percentage	feature
2023-11-01	desktop	False	1	1000	1000	622	0.1607717041800643	kFedCm
2023-11-01	mobile	False	1	1000	1000	738	0.13550135501355012	kFedCm
2023-12-01	desktop	False	4	1000	1000	575	0.6956521739130435	kFedCm
2023-12-01	desktop	True	2	1000	1000	649	0.30816640986132515	kFedCm
2023-12-01	mobile	False	1	1000	1000	694	0.1440922190201729	kFedCm
2023-12-01	mobile	True	1	1000	1000	786	0.1272264631043257	kFedCm
2024-01-01	desktop	False	1	1000	1000	565	0.17699115044247787	kFedCm
2024-01-01	desktop	True	1	1000	1000	626	0.1597444089456869	kFedCm
2024-01-01	mobile	False	1	1000	1000	692	0.1445086705202312	kFedCm
2024-01-01	mobile	True	1	1000	1000	792	0.12626262626262627	kFedCm
2024-02-01	desktop	False	3	1000	1000	558	0.5376344086021506	kFedCm
2024-02-01	desktop	True	2	1000	1000	624	0.3205128205128205	kFedCm
2024-02-01	mobile	False	2	1000	1000	676	0.2958579881656805	kFedCm
2024-02-01	mobile	True	4	1000	1000	772	0.5181347150259068	kFedCm
2024-03-01	desktop	False	2	1000	1000	573	0.34904013961605584	kFedCm
2024-03-01	desktop	True	3	1000	1000	646	0.46439628482972134	kFedCm
2024-03-01	mobile	False	2	1000	1000	685	0.291970802919708	kFedCm
2024-03-01	mobile	True	3	1000	1000	782	0.3836317135549872	kFedCm
2024-04-01	desktop	False	23	1000	1000	578	3.9792387543252596	kFedCm
2024-04-01	desktop	True	25	1000	1000	636	3.930817610062893	kFedCm
2024-04-01	mobile	False	16	1000	1000	689	2.3222060957910013	kFedCm
2024-04-01	mobile	True	17	1000	1000	777	2.187902187902188	kFedCm
2024-05-01	desktop	False	20	1000	1000	545	3.669724770642202	kFedCm
2024-05-01	desktop	True	31	1000	1000	622	4.983922829581994	kFedCm
2024-05-01	mobile	False	15	1000	1000	669	2.242152466367713	kFedCm
2024-05-01	mobile	True	22	1000	1000	773	2.846054333764554	kFedCm
