date	client	is_root_page	page	rank	rank_grouping	total_pages	percentage	feature
2024-06-01	desktop	False	195	1000	1000	561	34.75935828877005	kTopicsAPI_BrowsingTopics_Method
2024-06-01	desktop	True	196	1000	1000	632	31.0126582278481	kTopicsAPI_BrowsingTopics_Method
2024-06-01	mobile	False	224	1000	1000	682	32.84457478005865	kTopicsAPI_BrowsingTopics_Method
2024-06-01	mobile	True	225	1000	1000	771	29.18287937743191	kTopicsAPI_BrowsingTopics_Method
2024-07-01	desktop	False	200	1000	1000	559	35.77817531305904	kTopicsAPI_BrowsingTopics_Method
2024-07-01	desktop	True	204	1000	1000	632	32.278481012658226	kTopicsAPI_BrowsingTopics_Method
2024-07-01	mobile	False	214	1000	1000	700	30.571428571428573	kTopicsAPI_BrowsingTopics_Method
2024-07-01	mobile	True	233	1000	1000	792	29.419191919191917	kTopicsAPI_BrowsingTopics_Method
2024-08-01	desktop	False	192	1000	1000	568	33.80281690140845	kTopicsAPI_BrowsingTopics_Method
2024-08-01	desktop	True	191	1000	1000	640	29.843750000000004	kTopicsAPI_BrowsingTopics_Method
2024-08-01	mobile	False	226	1000	1000	716	31.564245810055862	kTopicsAPI_BrowsingTopics_Method
2024-08-01	mobile	True	225	1000	1000	799	28.16020025031289	kTopicsAPI_BrowsingTopics_Method
2024-09-01	desktop	False	199	1000	1000	540	36.851851851851855	kTopicsAPI_BrowsingTopics_Method
2024-09-01	desktop	True	196	1000	1000	618	31.715210355987054	kTopicsAPI_BrowsingTopics_Method
2024-09-01	mobile	False	229	1000	1000	695	32.94964028776978	kTopicsAPI_BrowsingTopics_Method
2024-09-01	mobile	True	224	1000	1000	779	28.754813863928113	kTopicsAPI_BrowsingTopics_Method
2024-10-01	desktop	False	188	1000	1000	549	34.244080145719494	kTopicsAPI_BrowsingTopics_Method
2024-10-01	desktop	True	187	1000	1000	623	30.01605136436597	kTopicsAPI_BrowsingTopics_Method
2024-10-01	mobile	False	216	1000	1000	711	30.37974683544304	kTopicsAPI_BrowsingTopics_Method
2024-10-01	mobile	True	218	1000	1000	785	27.770700636942674	kTopicsAPI_BrowsingTopics_Method
2024-11-01	desktop	False	185	1000	1000	554	33.39350180505416	kTopicsAPI_BrowsingTopics_Method
2024-11-01	desktop	True	189	1000	1000	634	29.81072555205047	kTopicsAPI_BrowsingTopics_Method
2024-11-01	mobile	False	230	1000	1000	717	32.07810320781032	kTopicsAPI_BrowsingTopics_Method
2024-11-01	mobile	True	219	1000	1000	790	27.72151898734177	kTopicsAPI_BrowsingTopics_Method
2024-12-01	desktop	False	196	1000	1000	571	34.32574430823117	kTopicsAPI_BrowsingTopics_Method
2024-12-01	desktop	True	196	1000	1000	646	30.340557275541798	kTopicsAPI_BrowsingTopics_Method
2024-12-01	mobile	False	232	1000	1000	733	31.65075034106412	kTopicsAPI_BrowsingTopics_Method
2024-12-01	mobile	True	218	1000	1000	806	27.04714640198511	kTopicsAPI_BrowsingTopics_Method
2025-01-01	desktop	False	184	1000	1000	537	34.26443202979516	kTopicsAPI_BrowsingTopics_Method
2025-01-01	desktop	True	185	1000	1000	609	30.377668308702795	kTopicsAPI_BrowsingTopics_Method
2025-01-01	mobile	False	225	1000	1000	690	32.608695652173914	kTopicsAPI_BrowsingTopics_Method
2025-01-01	mobile	True	214	1000	1000	770	27.79220779220779	kTopicsAPI_BrowsingTopics_Method
2025-02-01	desktop	False	197	1000	1000	568	34.683098591549296	kTopicsAPI_BrowsingTopics_Method
2025-02-01	desktop	True	193	1000	1000	639	30.203442879499214	kTopicsAPI_BrowsingTopics_Method
2025-02-01	mobile	False	221	1000	1000	701	31.526390870185452	kTopicsAPI_BrowsingTopics_Method
2025-02-01	mobile	True	217	1000	1000	779	27.856225930680363	kTopicsAPI_BrowsingTopics_Method
2025-03-01	desktop	False	185	1000	1000	576	32.11805555555556	kTopicsAPI_BrowsingTopics_Method
2025-03-01	desktop	True	188	1000	1000	646	29.102167182662537	kTopicsAPI_BrowsingTopics_Method
2025-03-01	mobile	False	217	1000	1000	708	30.64971751412429	kTopicsAPI_BrowsingTopics_Method
2025-03-01	mobile	True	210	1000	1000	785	26.751592356687897	kTopicsAPI_BrowsingTopics_Method
2025-04-01	desktop	False	190	1000	1000	567	33.50970017636684	kTopicsAPI_BrowsingTopics_Method
2025-04-01	desktop	True	186	1000	1000	648	28.703703703703702	kTopicsAPI_BrowsingTopics_Method
2025-04-01	mobile	False	211	1000	1000	698	30.229226361031518	kTopicsAPI_BrowsingTopics_Method
2025-04-01	mobile	True	213	1000	1000	782	27.237851662404093	kTopicsAPI_BrowsingTopics_Method
2025-05-01	desktop	False	196	1000	1000	563	34.81349911190053	kTopicsAPI_BrowsingTopics_Method
2025-05-01	desktop	True	196	1000	1000	635	30.866141732283463	kTopicsAPI_BrowsingTopics_Method
2025-05-01	mobile	False	230	1000	1000	706	32.577903682719544	kTopicsAPI_BrowsingTopics_Method
2025-05-01	mobile	True	226	1000	1000	786	28.75318066157761	kTopicsAPI_BrowsingTopics_Method
2025-06-01	desktop	False	185	1000	1000	558	33.15412186379928	kTopicsAPI_BrowsingTopics_Method
2025-06-01	desktop	True	185	1000	1000	622	29.7427652733119	kTopicsAPI_BrowsingTopics_Method
2025-06-01	mobile	False	227	1000	1000	693	32.75613275613276	kTopicsAPI_BrowsingTopics_Method
2025-06-01	mobile	True	228	1000	1000	774	29.457364341085274	kTopicsAPI_BrowsingTopics_Method
2025-07-01	desktop	False	188	1000	1000	568	33.098591549295776	kTopicsAPI_BrowsingTopics_Method
2025-07-01	desktop	True	195	1000	1000	633	30.80568720379147	kTopicsAPI_BrowsingTopics_Method
2025-07-01	mobile	False	221	1000	1000	696	31.752873563218394	kTopicsAPI_BrowsingTopics_Method
2025-07-01	mobile	True	227	1000	1000	790	28.73417721518987	kTopicsAPI_BrowsingTopics_Method
2025-08-01	desktop	False	183	1000	1000	560	32.67857142857143	kTopicsAPI_BrowsingTopics_Method
2025-08-01	desktop	True	188	1000	1000	623	30.17656500802568	kTopicsAPI_BrowsingTopics_Method
2025-08-01	mobile	False	211	1000	1000	671	31.445603576751118	kTopicsAPI_BrowsingTopics_Method
2025-08-01	mobile	True	222	1000	1000	767	28.943937418513688	kTopicsAPI_BrowsingTopics_Method
2025-09-01	desktop	False	176	1000	1000	550	32.0	kTopicsAPI_BrowsingTopics_Method
2025-09-01	desktop	True	181	1000	1000	614	29.47882736156352	kTopicsAPI_BrowsingTopics_Method
2025-09-01	mobile	False	202	1000	1000	681	29.662261380323052	kTopicsAPI_BrowsingTopics_Method
2025-09-01	mobile	True	214	1000	1000	769	27.828348504551364	kTopicsAPI_BrowsingTopics_Method
2025-10-01	desktop	False	170	1000	1000	540	31.48148148148148	kTopicsAPI_BrowsingTopics_Method
2025-10-01	desktop	True	177	1000	1000	612	28.921568627450984	kTopicsAPI_BrowsingTopics_Method
2025-10-01	mobile	False	204	1000	1000	666	30.630630630630627	kTopicsAPI_BrowsingTopics_Method
2025-10-01	mobile	True	208	1000	1000	758	27.440633245382585	kTopicsAPI_BrowsingTopics_Method
2025-11-01	desktop	False	123	1000	1000	556	22.12230215827338	kTopicsAPI_BrowsingTopics_Method
2025-11-01	desktop	True	152	1000	1000	627	24.242424242424242	kTopicsAPI_BrowsingTopics_Method
2025-11-01	mobile	False	154	1000	1000	685	22.48175182481752	kTopicsAPI_BrowsingTopics_Method
2025-11-01	mobile	True	164	1000	1000	772	21.243523316062177	kTopicsAPI_BrowsingTopics_Method
2025-12-01	desktop	False	93	1000	1000	564	16.48936170212766	kTopicsAPI_BrowsingTopics_Method
2025-12-01	desktop	True	101	1000	1000	626	16.134185303514375	kTopicsAPI_BrowsingTopics_Method
2025-12-01	mobile	False	114	1000	1000	681	16.740088105726873	kTopicsAPI_BrowsingTopics_Method
2025-12-01	mobile	True	115	1000	1000	769	14.954486345903772	kTopicsAPI_BrowsingTopics_Method
2026-01-01	desktop	False	92	1000	1000	544	16.911764705882355	kTopicsAPI_BrowsingTopics_Method
2026-01-01	desktop	True	91	1000	1000	609	14.942528735632186	kTopicsAPI_BrowsingTopics_Method
2026-01-01	mobile	False	107	1000	1000	673	15.89895988112927	kTopicsAPI_BrowsingTopics_Method
2026-01-01	mobile	True	101	1000	1000	761	13.272010512483574	kTopicsAPI_BrowsingTopics_Method
2026-02-01	desktop	False	105	1000	1000	568	18.485915492957748	kTopicsAPI_BrowsingTopics_Method
2026-02-01	desktop	True	102	1000	1000	633	16.113744075829384	kTopicsAPI_BrowsingTopics_Method
2026-02-01	mobile	False	118	1000	1000	687	17.17612809315866	kTopicsAPI_BrowsingTopics_Method
2026-02-01	mobile	True	113	1000	1000	777	14.543114543114545	kTopicsAPI_BrowsingTopics_Method
2026-03-01	desktop	False	101	1000	1000	563	17.939609236234457	kTopicsAPI_BrowsingTopics_Method
2026-03-01	desktop	True	99	1000	1000	637	15.541601255886969	kTopicsAPI_BrowsingTopics_Method
2026-03-01	mobile	False	117	1000	1000	672	17.410714285714285	kTopicsAPI_BrowsingTopics_Method
2026-03-01	mobile	True	116	1000	1000	773	15.006468305304011	kTopicsAPI_BrowsingTopics_Method
2026-04-01	desktop	False	90	1000	1000	557	16.15798922800718	kTopicsAPI_BrowsingTopics_Method
2026-04-01	desktop	True	94	1000	1000	636	14.779874213836477	kTopicsAPI_BrowsingTopics_Method
2026-04-01	mobile	False	107	1000	1000	680	15.735294117647058	kTopicsAPI_BrowsingTopics_Method
2026-04-01	mobile	True	109	1000	1000	778	14.010282776349614	kTopicsAPI_BrowsingTopics_Method
2024-06-01	desktop	False	1170	5000	5000	2896	40.40055248618785	kTopicsAPI_BrowsingTopics_Method
2024-06-01	desktop	True	1146	5000	5000	3222	35.567970204841714	kTopicsAPI_BrowsingTopics_Method
2024-06-01	mobile	False	1262	5000	5000	3476	36.30609896432681	kTopicsAPI_BrowsingTopics_Method
2024-06-01	mobile	True	1283	5000	5000	3918	32.74629913221031	kTopicsAPI_BrowsingTopics_Method
2024-07-01	desktop	False	1110	5000	5000	2900	38.275862068965516	kTopicsAPI_BrowsingTopics_Method
2024-07-01	desktop	True	1110	5000	5000	3254	34.1118623232944	kTopicsAPI_BrowsingTopics_Method
2024-07-01	mobile	False	1204	5000	5000	3509	34.31176973496723	kTopicsAPI_BrowsingTopics_Method
2024-07-01	mobile	True	1254	5000	5000	3969	31.594860166288736	kTopicsAPI_BrowsingTopics_Method
2024-08-01	desktop	False	1098	5000	5000	2865	38.324607329842934	kTopicsAPI_BrowsingTopics_Method
2024-08-01	desktop	True	1086	5000	5000	3213	33.80018674136321	kTopicsAPI_BrowsingTopics_Method
2024-08-01	mobile	False	1211	5000	5000	3495	34.64949928469242	kTopicsAPI_BrowsingTopics_Method
2024-08-01	mobile	True	1236	5000	5000	3948	31.30699088145897	kTopicsAPI_BrowsingTopics_Method
2024-09-01	desktop	False	1052	5000	5000	2782	37.81452192667146	kTopicsAPI_BrowsingTopics_Method
