date	client	is_root_page	page	rank	rank_grouping	total_pages	percentage	feature
2021-10-01	desktop	True	3	1000	1000	761	0.39421813403416556	kClientHintsUA
2021-10-01	mobile	True	2	1000	1000	825	0.24242424242424243	kClientHintsUA
2021-11-01	desktop	True	3	1000	1000	754	0.3978779840848806	kClientHintsUA
2021-11-01	mobile	True	1	1000	1000	681	0.14684287812041116	kClientHintsUA
2021-12-01	desktop	True	4	1000	1000	742	0.5390835579514826	kClientHintsUA
2021-12-01	mobile	True	4	1000	1000	928	0.43103448275862066	kClientHintsUA
2022-01-01	desktop	True	7	1000	1000	740	0.945945945945946	kClientHintsUA
2022-01-01	mobile	True	5	1000	1000	927	0.5393743257820928	kClientHintsUA
2022-02-01	desktop	True	5	1000	1000	764	0.6544502617801047	kClientHintsUA
2022-02-01	mobile	True	5	1000	1000	938	0.5330490405117271	kClientHintsUA
2022-03-01	desktop	True	5	1000	1000	763	0.655307994757536	kClientHintsUA
2022-03-01	mobile	True	5	1000	1000	936	0.5341880341880342	kClientHintsUA
2022-04-01	desktop	True	5	1000	1000	759	0.6587615283267457	kClientHintsUA
2022-04-01	mobile	True	5	1000	1000	897	0.5574136008918618	kClientHintsUA
2022-05-01	desktop	False	9	1000	1000	939	0.9584664536741214	kClientHintsUA
2022-05-01	desktop	True	7	1000	1000	778	0.8997429305912596	kClientHintsUA
2022-05-01	mobile	False	9	1000	1000	1135	0.7929515418502203	kClientHintsUA
2022-05-01	mobile	True	7	1000	1000	933	0.7502679528403001	kClientHintsUA
2022-06-01	desktop	False	7	1000	1000	701	0.9985734664764622	kClientHintsUA
2022-06-01	desktop	True	9	1000	1000	780	1.153846153846154	kClientHintsUA
2022-06-01	mobile	False	7	1000	1000	816	0.857843137254902	kClientHintsUA
2022-06-01	mobile	True	8	1000	1000	928	0.8620689655172413	kClientHintsUA
2022-07-01	desktop	False	7	1000	1000	622	1.1254019292604502	kClientHintsUA
2022-07-01	desktop	True	8	1000	1000	685	1.167883211678832	kClientHintsUA
2022-07-01	mobile	False	6	1000	1000	741	0.8097165991902834	kClientHintsUA
2022-07-01	mobile	True	7	1000	1000	836	0.8373205741626795	kClientHintsUA
2022-08-01	desktop	False	7	1000	1000	652	1.0736196319018405	kClientHintsUA
2022-08-01	desktop	True	8	1000	1000	744	1.0752688172043012	kClientHintsUA
2022-08-01	mobile	False	7	1000	1000	783	0.8939974457215836	kClientHintsUA
2022-08-01	mobile	True	8	1000	1000	926	0.8639308855291578	kClientHintsUA
2022-09-01	desktop	False	6	1000	1000	617	0.9724473257698543	kClientHintsUA
2022-09-01	desktop	True	7	1000	1000	695	1.0071942446043165	kClientHintsUA
2022-09-01	mobile	False	6	1000	1000	787	0.7623888182973316	kClientHintsUA
2022-09-01	mobile	True	7	1000	1000	920	0.7608695652173914	kClientHintsUA
2022-10-01	desktop	False	9	1000	1000	603	1.4925373134328357	kClientHintsUA
2022-10-01	desktop	True	10	1000	1000	685	1.4598540145985401	kClientHintsUA
2022-10-01	mobile	False	11	1000	1000	784	1.403061224489796	kClientHintsUA
2022-10-01	mobile	True	10	1000	1000	930	1.0752688172043012	kClientHintsUA
2022-11-01	desktop	False	6	1000	1000	632	0.949367088607595	kClientHintsUA
2022-11-01	desktop	True	8	1000	1000	713	1.1220196353436185	kClientHintsUA
2022-11-01	mobile	False	7	1000	1000	771	0.9079118028534372	kClientHintsUA
2022-11-01	mobile	True	7	1000	1000	901	0.776914539400666	kClientHintsUA
2022-12-01	desktop	False	6	1000	1000	613	0.9787928221859705	kClientHintsUA
2022-12-01	desktop	True	7	1000	1000	704	0.9943181818181818	kClientHintsUA
2022-12-01	mobile	False	8	1000	1000	757	1.0568031704095113	kClientHintsUA
2022-12-01	mobile	True	7	1000	1000	903	0.7751937984496124	kClientHintsUA
2023-01-01	desktop	False	22	1000	1000	604	3.642384105960265	kClientHintsUA
2023-01-01	desktop	True	24	1000	1000	705	3.404255319148936	kClientHintsUA
2023-01-01	mobile	False	23	1000	1000	734	3.1335149863760217	kClientHintsUA
2023-01-01	mobile	True	24	1000	1000	895	2.6815642458100557	kClientHintsUA
2023-02-01	desktop	False	23	1000	1000	603	3.814262023217247	kClientHintsUA
2023-02-01	desktop	True	24	1000	1000	698	3.4383954154727796	kClientHintsUA
2023-02-01	mobile	False	26	1000	1000	746	3.485254691689008	kClientHintsUA
2023-02-01	mobile	True	24	1000	1000	902	2.6607538802660753	kClientHintsUA
2023-03-01	desktop	False	23	1000	1000	591	3.8917089678511	kClientHintsUA
2023-03-01	desktop	True	26	1000	1000	682	3.812316715542522	kClientHintsUA
2023-03-01	mobile	False	27	1000	1000	732	3.6885245901639343	kClientHintsUA
2023-03-01	mobile	True	28	1000	1000	888	3.153153153153153	kClientHintsUA
2023-04-01	desktop	False	28	1000	1000	605	4.628099173553719	kClientHintsUA
2023-04-01	desktop	True	31	1000	1000	702	4.415954415954416	kClientHintsUA
2023-04-01	mobile	False	29	1000	1000	740	3.9189189189189193	kClientHintsUA
2023-04-01	mobile	True	31	1000	1000	899	3.4482758620689653	kClientHintsUA
2023-05-01	desktop	False	27	1000	1000	598	4.51505016722408	kClientHintsUA
2023-05-01	desktop	True	30	1000	1000	707	4.243281471004243	kClientHintsUA
2023-05-01	mobile	False	27	1000	1000	723	3.7344398340248963	kClientHintsUA
2023-05-01	mobile	True	30	1000	1000	893	3.3594624860022395	kClientHintsUA
2023-06-01	desktop	False	26	1000	1000	607	4.2833607907743	kClientHintsUA
2023-06-01	desktop	True	36	1000	1000	705	5.106382978723404	kClientHintsUA
2023-06-01	mobile	False	28	1000	1000	718	3.8997214484679668	kClientHintsUA
2023-06-01	mobile	True	43	1000	1000	888	4.842342342342342	kClientHintsUA
2023-07-01	desktop	False	30	1000	1000	603	4.975124378109453	kClientHintsUA
2023-07-01	desktop	True	38	1000	1000	700	5.428571428571429	kClientHintsUA
2023-07-01	mobile	False	31	1000	1000	732	4.2349726775956285	kClientHintsUA
2023-07-01	mobile	True	42	1000	1000	893	4.703247480403135	kClientHintsUA
2023-08-01	desktop	False	28	1000	1000	605	4.628099173553719	kClientHintsUA
2023-08-01	desktop	True	37	1000	1000	698	5.300859598853868	kClientHintsUA
