date,client,rank_grouping,is_root_page,total_pages
2024-06-01,desktop,50000,false,29709
2024-06-01,desktop,100000,false,59992
2024-06-01,desktop,5000,false,2896
2024-06-01,desktop,10000,false,5852
2024-06-01,desktop,1000,false,561
2024-06-01,desktop,1000,true,632
2024-06-01,desktop,5000,true,3222
2024-06-01,desktop,10000,true,6497
2024-06-01,desktop,100000,true,68248
2024-06-01,desktop,50000,true,33541
2024-06-01,mobile,50000,false,34218
2024-06-01,mobile,1000,false,682
2024-06-01,mobile,10000,false,6961
2024-06-01,mobile,5000,false,3476
2024-06-01,mobile,100000,false,68239
2024-06-01,mobile,100000,true,79486
2024-06-01,mobile,5000,true,3918
2024-06-01,mobile,1000,true,771
2024-06-01,mobile,50000,true,39463
2024-06-01,mobile,10000,true,7828
2023-02-01,desktop,50000,false,32978
2023-02-01,desktop,100000,false,67323
2023-02-01,desktop,1000,false,603
2023-02-01,desktop,5000,false,3110
2023-02-01,desktop,10000,false,6380
2023-02-01,mobile,10000,false,7545
2023-02-01,mobile,50000,false,37692
2023-02-01,mobile,5000,false,3783
2023-02-01,mobile,1000,false,746
2023-02-01,mobile,100000,false,75317
2023-02-01,desktop,50000,true,38363
2023-02-01,desktop,100000,true,78621
2023-02-01,desktop,1000,true,698
2023-02-01,desktop,5000,true,3569
2023-02-01,desktop,10000,true,7340
2023-02-01,mobile,5000,true,4485
2023-02-01,mobile,1000,true,902
2023-02-01,mobile,50000,true,45032
2023-02-01,mobile,100000,true,90178
2023-02-01,mobile,10000,true,8950
2023-04-01,desktop,1000,false,605
2023-04-01,mobile,1000,false,740
2023-04-01,mobile,5000,false,3761
2023-04-01,desktop,5000,false,3112
2023-04-01,desktop,10000,false,6355
2023-04-01,mobile,10000,false,7535
2023-04-01,mobile,50000,false,37542
2023-04-01,desktop,50000,false,33127
2023-04-01,mobile,100000,false,74896
2023-04-01,desktop,100000,false,67512
2023-04-01,mobile,1000,true,899
2023-04-01,desktop,1000,true,702
2023-04-01,desktop,5000,true,3606
2023-04-01,mobile,5000,true,4485
2023-04-01,desktop,10000,true,7327
2023-04-01,mobile,10000,true,8917
2023-04-01,mobile,50000,true,44776
2023-04-01,desktop,50000,true,38529
2023-04-01,mobile,100000,true,89614
2023-04-01,desktop,100000,true,78882
2026-02-01,desktop,1000,false,568
2026-02-01,desktop,50000,false,28498
2026-02-01,desktop,5000,false,2906
2026-02-01,desktop,100000,false,56439
2026-02-01,desktop,10000,false,5822
2026-02-01,desktop,10000,true,6518
2026-02-01,desktop,100000,true,65172
2026-02-01,desktop,1000,true,633
2026-02-01,desktop,50000,true,32554
2026-02-01,desktop,5000,true,3270
2026-02-01,mobile,50000,false,32415
2026-02-01,mobile,1000,false,687
2026-02-01,mobile,10000,false,6719
2026-02-01,mobile,5000,false,3381
2026-02-01,mobile,100000,false,63831
2026-02-01,mobile,10000,true,7705
2026-02-01,mobile,1000,true,777
2026-02-01,mobile,100000,true,75876
2026-02-01,mobile,50000,true,38047
2026-02-01,mobile,5000,true,3883
2022-12-01,desktop,1000,false,613
2022-12-01,desktop,1000,true,704
2022-12-01,mobile,1000,true,903
2022-12-01,mobile,1000,false,757
2022-12-01,desktop,5000,false,3087
2022-12-01,mobile,5000,false,3757
2022-12-01,mobile,5000,true,4506
2022-12-01,desktop,5000,true,3598
2022-12-01,desktop,10000,false,6400
2022-12-01,desktop,10000,true,7414
2022-12-01,mobile,10000,true,9006
2022-12-01,mobile,10000,false,7543
2022-12-01,desktop,50000,false,33352
2022-12-01,desktop,50000,true,39088
2022-12-01,mobile,50000,false,37528
2022-12-01,mobile,50000,true,45080
2022-12-01,desktop,100000,false,68192
2022-12-01,mobile,100000,false,75207
2022-12-01,mobile,100000,true,90329
2022-12-01,desktop,100000,true,79987
2021-09-01,desktop,1000,true,755
2021-09-01,desktop,5000,true,755
2021-09-01,desktop,10000,true,7915
2021-09-01,desktop,50000,true,7915
2021-09-01,desktop,100000,true,85720
2021-09-01,mobile,5000,true,907
2021-09-01,mobile,1000,true,907
2021-09-01,mobile,50000,true,8851
2021-09-01,mobile,10000,true,8851
2021-09-01,mobile,100000,true,91095
2022-02-01,desktop,5000,true,764
2022-02-01,desktop,1000,true,764
2022-02-01,desktop,10000,true,7992
2022-02-01,desktop,50000,true,7992
2022-02-01,desktop,100000,true,86970
2022-02-01,mobile,1000,true,938
2022-02-01,mobile,5000,true,938
2022-02-01,mobile,50000,true,9385
2022-02-01,mobile,10000,true,9385
2022-02-01,mobile,100000,true,94911
2025-06-01,desktop,1000,false,558
2025-06-01,mobile,1000,false,693
2025-06-01,mobile,5000,false,3393
2025-06-01,desktop,5000,false,2834
2025-06-01,mobile,10000,false,6733
2025-06-01,desktop,10000,false,5725
2025-06-01,desktop,50000,false,28764
2025-06-01,mobile,50000,false,32961
2025-06-01,mobile,100000,false,65264
2025-06-01,desktop,100000,false,57630
2025-06-01,desktop,1000,true,622
2025-06-01,mobile,1000,true,774
2025-06-01,mobile,5000,true,3845
2025-06-01,desktop,5000,true,3170
2025-06-01,desktop,10000,true,6372
2025-06-01,mobile,10000,true,7638
2025-06-01,desktop,50000,true,32585
2025-06-01,mobile,50000,true,38311
2025-06-01,mobile,100000,true,76897
2025-06-01,desktop,100000,true,66004
2025-04-01,desktop,100000,false,58284
2025-04-01,desktop,1000,false,567
2025-04-01,desktop,5000,false,2900
2025-04-01,desktop,50000,false,28941
2025-04-01,desktop,10000,false,5854
2025-04-01,desktop,50000,true,33103
2025-04-01,desktop,5000,true,3278
2025-04-01,desktop,10000,true,6576
2025-04-01,desktop,100000,true,67138
2025-04-01,desktop,1000,true,648
2025-04-01,mobile,5000,false,3420
2025-04-01,mobile,10000,false,6841
2025-04-01,mobile,1000,false,698
2025-04-01,mobile,50000,false,33263
2025-04-01,mobile,100000,false,66412
2025-04-01,mobile,100000,true,78606
2025-04-01,mobile,50000,true,39015
2025-04-01,mobile,1000,true,782
2025-04-01,mobile,10000,true,7765
2025-04-01,mobile,5000,true,3873
2021-12-01,desktop,5000,true,742
2021-12-01,desktop,1000,true,742
2021-12-01,desktop,10000,true,7922
2021-12-01,desktop,50000,true,7922
2021-12-01,desktop,100000,true,86153
2021-12-01,mobile,1000,true,928
2021-12-01,mobile,5000,true,928
2021-12-01,mobile,50000,true,9208
2021-12-01,mobile,10000,true,9208
2021-12-01,mobile,100000,true,92846
2022-06-01,desktop,5000,false,701
2022-06-01,desktop,1000,false,701
2022-06-01,mobile,1000,false,816
2022-06-01,mobile,5000,false,816
2022-06-01,desktop,10000,false,7324
2022-06-01,desktop,50000,false,7324
2022-06-01,mobile,50000,false,8269
2022-06-01,mobile,10000,false,8269
2022-06-01,desktop,100000,false,78875
2022-06-01,mobile,100000,false,83602
2022-06-01,desktop,1000,true,780
2022-06-01,desktop,5000,true,780
2022-06-01,mobile,1000,true,928
2022-06-01,mobile,5000,true,928
2022-06-01,desktop,10000,true,8148
2022-06-01,desktop,50000,true,8148
2022-06-01,mobile,10000,true,9422
2022-06-01,mobile,50000,true,9422
2022-06-01,desktop,100000,true,87844
2022-06-01,mobile,100000,true,95193
2021-07-01,desktop,5000,true,785
2021-07-01,desktop,1000,true,785
2021-07-01,desktop,10000,true,8323
2021-07-01,desktop,50000,true,8323
2021-07-01,desktop,100000,true,88316
2021-07-01,mobile,5000,true,923
2021-07-01,mobile,1000,true,923
2021-07-01,mobile,50000,true,9217
2021-07-01,mobile,10000,true,9217
2021-07-01,mobile,100000,true,93235
2021-05-01,desktop,1000,true,791
2021-05-01,desktop,5000,true,791
2021-05-01,desktop,10000,true,8368
2021-05-01,desktop,50000,true,8368
2021-05-01,desktop,100000,true,88545
2021-05-01,mobile,1000,true,922
2021-05-01,mobile,5000,true,922
2021-05-01,mobile,10000,true,9215
2021-05-01,mobile,50000,true,9215
2021-05-01,mobile,100000,true,92826
2026-04-01,desktop,1000,false,557
2026-04-01,desktop,5000,false,2829
2026-04-01,desktop,100000,false,55287
2026-04-01,desktop,50000,false,27817
2026-04-01,desktop,10000,false,5646
2026-04-01,mobile,1000,false,680
2026-04-01,mobile,50000,false,31634
2026-04-01,mobile,10000,false,6581
2026-04-01,mobile,5000,false,3335
2026-04-01,desktop,50000,true,32410
2026-04-01,desktop,1000,true,636
2026-04-01,desktop,10000,true,6442
2026-04-01,desktop,5000,true,3232
2026-04-01,desktop,100000,true,64954
2026-04-01,mobile,10000,true,7600
2026-04-01,mobile,5000,true,3845
2026-04-01,mobile,1000,true,778
2026-04-01,mobile,50000,true,37672
2025-08-01,desktop,1000,false,560
2025-08-01,mobile,1000,false,671
2025-08-01,mobile,5000,false,3377
2025-08-01,desktop,5000,false,2883
2025-08-01,mobile,10000,false,6741
2025-08-01,desktop,10000,false,5807
2025-08-01,desktop,50000,false,28999
2025-08-01,mobile,50000,false,33156
2025-08-01,mobile,100000,false,65564
2025-08-01,desktop,100000,false,57955
2025-08-01,mobile,1000,true,767
2025-08-01,desktop,1000,true,623
2025-08-01,desktop,5000,true,3195
2025-08-01,mobile,5000,true,3857
2025-08-01,mobile,10000,true,7717
2025-08-01,desktop,10000,true,6438
2025-08-01,desktop,50000,true,32843
2025-08-01,mobile,50000,true,38692
2025-08-01,desktop,100000,true,66250
2025-08-01,mobile,100000,true,77407
2023-05-01,desktop,1000,false,598
2023-05-01,desktop,1000,true,707
2023-05-01,desktop,5000,true,3524
2023-05-01,desktop,5000,false,3071
2023-05-01,desktop,10000,false,6292
2023-05-01,desktop,10000,true,7214
2023-05-01,desktop,50000,true,37713
2023-05-01,desktop,50000,false,32651
2023-05-01,desktop,100000,false,66362
2023-05-01,desktop,100000,true,77042
2023-05-01,mobile,1000,false,723
2023-05-01,mobile,1000,true,893
2023-05-01,mobile,5000,true,4465
2023-05-01,mobile,5000,false,3756
2023-05-01,mobile,10000,true,8913
2023-05-01,mobile,10000,false,7521
2023-05-01,mobile,50000,false,37682
2023-05-01,mobile,50000,true,44710
2023-05-01,mobile,100000,false,75036
2023-05-01,mobile,100000,true,89354
2026-03-01,desktop,50000,false,28184
2026-03-01,desktop,10000,false,5687
2026-03-01,desktop,100000,false,55795
2026-03-01,desktop,5000,false,2856
2026-03-01,desktop,1000,false,563
2026-03-01,mobile,1000,false,672
2026-03-01,mobile,100000,false,63089
2026-03-01,mobile,10000,false,6582
2026-03-01,mobile,50000,false,32014
2026-03-01,mobile,5000,false,3330
2026-03-01,desktop,1000,true,637
