date	host	attribution	fedcm	fenced_frames	floc	private_aggregation	private_state_tokens	protected_audience	shared_storage	storage_access	topics	ua_client_hints	grand_total_apis	total_without_ua_client_hints	date_rank
2023-09-01	www.googletagmanager.com	130748	57	70	4	0	0	130368	0	3	0	130538	391788	261250	1
2023-09-01	securepubads.g.doubleclick.net	23515	0	12804	2	0	2	12734	6	0	12732	10548	72343	61795	2
2023-09-01	pagead2.googlesyndication.com	24209	0	96	0	0	0	9511	0	0	9397	12871	56084	43213	3
2023-09-01	googleads.g.doubleclick.net	2117	0	2090	0	0	0	0	0	0	26352	2090	32649	30559	4
2023-09-01	www.googletagservices.com	2986	0	8821	0	0	2	0	8719	0	0	11954	32482	20528	5
2023-09-01	gum.criteo.com	0	0	0	0	0	0	8802	0	0	8802	0	17604	17604	6
2023-09-01	connect.facebook.net	17378	0	0	0	0	0	0	0	0	0	20914	38292	17378	7
2023-09-01	www.youtube.com	6989	0	3	0	0	0	0	3	6787	0	4484	18266	13782	8
2023-09-01	www.gstatic.com	1693	99	1425	0	0	0	0	0	8481	0	1560	13258	11698	9
2023-09-01	imasdk.googleapis.com	4400	0	4114	0	0	20	0	0	0	0	4178	12712	8534	10
2023-09-01	cdn.taboola.com	2347	0	1311	2	1312	0	0	0	0	2453	1420	8845	7425	11
2023-09-01	www.googleoptimize.com	3081	0	0	0	0	0	3069	0	0	0	3073	9223	6150	12
2023-09-01	www.google-analytics.com	2430	0	0	0	0	0	2418	0	0	0	2425	7273	4848	13
2023-09-01	fundingchoicesmessages.google.com	4686	0	0	0	0	0	0	0	0	0	0	4686	4686	14
2023-09-01	accounts.google.com	2430	2032	0	0	0	0	0	0	0	0	0	4462	4462	15
2023-09-01	tpc.googlesyndication.com	167	0	4173	0	0	0	1	0	0	0	167	4508	4341	16
2023-09-01	invstatic101.creativecdn.com	0	0	0	0	0	0	0	0	0	2909	0	2909	2909	17
2023-09-01	secure.cdn.fastclick.net	0	0	0	0	0	0	0	0	2681	0	0	2681	2681	18
2023-09-01	cdn.onesignal.com	0	0	2156	0	0	0	0	0	0	0	0	2156	2156	19
2023-09-01	www.googleadservices.com	1985	0	0	0	0	0	0	0	0	0	2020	4005	1985	20
2023-09-01	static.xx.fbcdn.net	128	4	0	0	0	0	0	0	1732	0	1107	2971	1864	21
2023-09-01	dynamic.criteo.com	1449	0	0	0	0	0	0	0	0	0	0	1449	1449	22
2023-09-01	static.criteo.net	1323	0	0	7	0	0	0	0	0	0	0	1330	1330	23
2023-09-01	cdn.ampproject.org	1189	0	0	0	0	0	0	0	0	0	932	2121	1189	24
2023-09-01	us.creativecdn.com	0	0	389	0	0	0	389	0	0	395	0	1173	1173	25
2023-09-01	asia.creativecdn.com	0	0	375	0	0	0	375	0	0	378	0	1128	1128	26
2023-09-01	ams.creativecdn.com	0	0	369	0	0	0	369	0	0	371	0	1109	1109	27
2023-09-01	a.teads.tv	118	0	118	0	0	0	0	0	0	795	116	1147	1031	28
2023-09-01	apis.google.com	0	0	0	0	0	0	0	0	951	0	538	1489	951	29
2023-09-01	ad.doubleclick.net	467	0	465	0	0	0	0	0	0	0	466	1398	932	30
2023-09-01	sslwidget.criteo.com	0	0	0	0	0	0	843	0	0	0	0	843	843	31
2023-09-01	widget.eu.criteo.com	0	0	0	0	0	0	819	0	0	0	0	819	819	32
2023-09-01	b99.yahoo.co.jp	806	0	0	0	0	0	0	0	0	0	824	1630	806	33
2023-09-01	widget.as.criteo.com	0	0	0	0	0	0	761	0	0	0	0	761	761	34
2023-09-01	assets.a-mo.net	0	0	0	0	0	0	0	0	0	745	1362	2107	745	35
2023-09-01	top-fwz1.mail.ru	0	0	0	742	0	0	0	0	0	0	0	742	742	36
2023-09-01	cse.google.com	730	0	0	0	0	0	0	0	0	0	730	1460	730	37
