date	day_percentage	feature
2022-03-24	0.0	kPartitionedCookies
2022-03-28	0.0	kPartitionedCookies
2022-03-29	0.0	kPartitionedCookies
2022-03-31	0.0	kPartitionedCookies
2022-04-01	4e-06	kPartitionedCookies
2022-04-06	0.0	kPartitionedCookies
2022-04-11	1e-06	kPartitionedCookies
2022-04-12	0.00019999999999999998	kPartitionedCookies
2022-04-13	0.00030000000000000003	kPartitionedCookies
2022-04-18	1e-06	kPartitionedCookies
2022-04-20	0.0	kPartitionedCookies
2022-04-21	0.0	kPartitionedCookies
2022-04-22	0.0	kPartitionedCookies
2022-04-27	0.0	kPartitionedCookies
2022-04-29	0.0	kPartitionedCookies
2022-05-03	0.0	kPartitionedCookies
2022-05-05	0.0	kPartitionedCookies
2022-05-11	0.0	kPartitionedCookies
2022-05-17	0.0	kPartitionedCookies
2022-05-18	0.0	kPartitionedCookies
2022-05-19	0.0	kPartitionedCookies
2022-05-20	0.0	kPartitionedCookies
2022-05-23	0.0	kPartitionedCookies
2022-05-24	9.999999999999999e-05	kPartitionedCookies
2022-05-25	0.0	kPartitionedCookies
2022-06-01	0.0	kPartitionedCookies
2022-06-02	0.0	kPartitionedCookies
2022-06-03	0.00030000000000000003	kPartitionedCookies
2022-06-06	0.0	kPartitionedCookies
2022-06-07	9.999999999999999e-05	kPartitionedCookies
2022-06-08	0.0	kPartitionedCookies
2022-06-09	0.00030000000000000003	kPartitionedCookies
2022-06-10	0.00019999999999999998	kPartitionedCookies
2022-06-11	0.00019999999999999998	kPartitionedCookies
2022-06-13	9.999999999999999e-05	kPartitionedCookies
2022-06-14	0.0	kPartitionedCookies
2022-06-15	0.0	kPartitionedCookies
2022-06-23	0.0	kPartitionedCookies
2022-06-24	0.0	kPartitionedCookies
2022-06-26	0.0	kPartitionedCookies
2022-06-27	0.0	kPartitionedCookies
2022-06-28	0.0	kPartitionedCookies
2022-06-29	0.0	kPartitionedCookies
2022-07-04	0.0	kPartitionedCookies
2022-07-08	0.0	kPartitionedCookies
2022-07-13	9.999999999999999e-05	kPartitionedCookies
2022-07-14	0.00039999999999999996	kPartitionedCookies
2022-07-15	0.00030000000000000003	kPartitionedCookies
2022-07-16	0.00019999999999999998	kPartitionedCookies
2022-07-17	9.999999999999999e-05	kPartitionedCookies
