date	day_percentage	feature
2021-08-01	0.0	kHTMLFencedFrameElement
2021-08-11	0.0	kHTMLFencedFrameElement
2021-08-27	0.0	kHTMLFencedFrameElement
2021-09-01	0.0	kHTMLFencedFrameElement
2021-09-17	0.0	kHTMLFencedFrameElement
2021-09-29	0.0	kHTMLFencedFrameElement
2021-10-02	0.0	kHTMLFencedFrameElement
2021-10-03	0.0	kHTMLFencedFrameElement
2021-10-04	0.0	kHTMLFencedFrameElement
2021-10-07	0.0	kHTMLFencedFrameElement
2021-10-09	0.0	kHTMLFencedFrameElement
2021-10-11	0.0	kHTMLFencedFrameElement
2021-10-12	0.0	kHTMLFencedFrameElement
2021-10-15	9.999999999999999e-05	kHTMLFencedFrameElement
2021-10-20	0.0	kHTMLFencedFrameElement
2021-10-26	0.0	kHTMLFencedFrameElement
2021-10-27	0.0	kHTMLFencedFrameElement
2021-10-28	0.0	kHTMLFencedFrameElement
2021-10-29	9.999999999999999e-05	kHTMLFencedFrameElement
2021-10-30	9.999999999999999e-05	kHTMLFencedFrameElement
2021-11-01	9.999999999999999e-05	kHTMLFencedFrameElement
2021-11-02	0.0	kHTMLFencedFrameElement
2021-11-08	0.0	kHTMLFencedFrameElement
2021-11-10	9.999999999999999e-05	kHTMLFencedFrameElement
2021-11-15	0.0	kHTMLFencedFrameElement
2021-11-16	0.0	kHTMLFencedFrameElement
2021-11-17	0.0	kHTMLFencedFrameElement
2021-11-18	9.999999999999999e-05	kHTMLFencedFrameElement
2021-11-23	0.0	kHTMLFencedFrameElement
2021-11-24	0.0	kHTMLFencedFrameElement
2021-11-29	0.0	kHTMLFencedFrameElement
2021-11-30	0.0	kHTMLFencedFrameElement
2021-12-01	0.0	kHTMLFencedFrameElement
2021-12-02	0.0	kHTMLFencedFrameElement
2021-12-03	0.0	kHTMLFencedFrameElement
2021-12-06	0.0	kHTMLFencedFrameElement
2021-12-07	0.0	kHTMLFencedFrameElement
2021-12-08	0.0	kHTMLFencedFrameElement
2021-12-09	9.999999999999999e-05	kHTMLFencedFrameElement
2021-12-10	0.0	kHTMLFencedFrameElement
2021-12-11	0.0	kHTMLFencedFrameElement
2021-12-12	0.0	kHTMLFencedFrameElement
2021-12-13	0.0	kHTMLFencedFrameElement
2021-12-14	0.0	kHTMLFencedFrameElement
2021-12-15	0.0	kHTMLFencedFrameElement
2021-12-16	0.0	kHTMLFencedFrameElement
2021-12-17	0.0	kHTMLFencedFrameElement
2021-12-20	0.0	kHTMLFencedFrameElement
2021-12-21	0.0	kHTMLFencedFrameElement
2021-12-22	0.0	kHTMLFencedFrameElement
2021-12-23	0.0	kHTMLFencedFrameElement
2021-12-27	0.0	kHTMLFencedFrameElement
2021-12-31	0.0	kHTMLFencedFrameElement
2022-01-04	0.0	kHTMLFencedFrameElement
2022-01-06	1e-06	kHTMLFencedFrameElement
2022-01-07	1e-06	kHTMLFencedFrameElement
2022-01-10	0.0	kHTMLFencedFrameElement
2022-01-11	0.0	kHTMLFencedFrameElement
2022-01-12	0.0	kHTMLFencedFrameElement
2022-01-13	0.0	kHTMLFencedFrameElement
2022-01-14	1e-06	kHTMLFencedFrameElement
2022-01-15	0.0	kHTMLFencedFrameElement
2022-01-16	1e-06	kHTMLFencedFrameElement
2022-01-17	0.0	kHTMLFencedFrameElement
2022-01-18	1e-06	kHTMLFencedFrameElement
2022-01-19	0.0	kHTMLFencedFrameElement
2022-01-20	0.0	kHTMLFencedFrameElement
2022-01-21	0.0	kHTMLFencedFrameElement
2022-01-22	0.0	kHTMLFencedFrameElement
2022-01-23	0.0	kHTMLFencedFrameElement
2022-01-24	1e-06	kHTMLFencedFrameElement
2022-01-25	3.0000000000000005e-06	kHTMLFencedFrameElement
2022-01-26	1e-06	kHTMLFencedFrameElement
2022-01-27	2e-06	kHTMLFencedFrameElement
2022-01-28	2e-06	kHTMLFencedFrameElement
2022-01-29	0.0	kHTMLFencedFrameElement
2022-01-30	0.0	kHTMLFencedFrameElement
2022-01-31	1e-06	kHTMLFencedFrameElement
2022-02-01	0.0	kHTMLFencedFrameElement
2022-02-02	2e-06	kHTMLFencedFrameElement
2022-02-03	1e-06	kHTMLFencedFrameElement
2022-02-04	2e-06	kHTMLFencedFrameElement
2022-02-05	0.0	kHTMLFencedFrameElement
2022-02-06	1e-06	kHTMLFencedFrameElement
2022-02-07	1e-06	kHTMLFencedFrameElement
2022-02-08	0.0	kHTMLFencedFrameElement
2022-02-09	0.0	kHTMLFencedFrameElement
2022-02-10	0.0	kHTMLFencedFrameElement
2022-02-14	0.0	kHTMLFencedFrameElement
2022-02-15	9.999999999999999e-05	kHTMLFencedFrameElement
2022-02-16	0.0	kHTMLFencedFrameElement
2022-02-17	0.0	kHTMLFencedFrameElement
2022-02-18	0.0	kHTMLFencedFrameElement
2022-02-19	0.0	kHTMLFencedFrameElement
2022-02-21	0.0	kHTMLFencedFrameElement
2022-02-22	0.0	kHTMLFencedFrameElement
2022-02-23	1e-06	kHTMLFencedFrameElement
2022-02-24	1e-06	kHTMLFencedFrameElement
2022-02-25	0.0	kHTMLFencedFrameElement
2022-02-26	0.0	kHTMLFencedFrameElement
2022-02-27	0.0	kHTMLFencedFrameElement
2022-02-28	1e-06	kHTMLFencedFrameElement
2022-03-01	1e-06	kHTMLFencedFrameElement
2022-03-02	1e-06	kHTMLFencedFrameElement
2022-03-03	1e-06	kHTMLFencedFrameElement
2022-03-04	1e-06	kHTMLFencedFrameElement
2022-03-05	1e-06	kHTMLFencedFrameElement
2022-03-06	0.0	kHTMLFencedFrameElement
2022-03-07	0.0	kHTMLFencedFrameElement
2022-03-08	1e-06	kHTMLFencedFrameElement
2022-03-09	1e-06	kHTMLFencedFrameElement
2022-03-10	1e-06	kHTMLFencedFrameElement
2022-03-11	0.0	kHTMLFencedFrameElement
2022-03-12	0.0	kHTMLFencedFrameElement
2022-03-13	0.0	kHTMLFencedFrameElement
2022-03-14	1e-06	kHTMLFencedFrameElement
2022-03-15	1e-06	kHTMLFencedFrameElement
2022-03-16	2e-06	kHTMLFencedFrameElement
2022-03-17	1e-06	kHTMLFencedFrameElement
2022-03-18	0.0	kHTMLFencedFrameElement
2022-03-19	9.999999999999999e-05	kHTMLFencedFrameElement
2022-03-20	0.0	kHTMLFencedFrameElement
2022-03-21	1e-06	kHTMLFencedFrameElement
2022-03-22	0.0	kHTMLFencedFrameElement
2022-03-23	1e-06	kHTMLFencedFrameElement
2022-03-24	0.0	kHTMLFencedFrameElement
2022-03-25	0.0	kHTMLFencedFrameElement
2022-03-26	0.0	kHTMLFencedFrameElement
2022-03-28	0.0	kHTMLFencedFrameElement
2022-03-29	0.0	kHTMLFencedFrameElement
2022-03-30	0.0	kHTMLFencedFrameElement
2022-03-31	0.0	kHTMLFencedFrameElement
2022-04-01	0.0	kHTMLFencedFrameElement
2022-04-02	0.0	kHTMLFencedFrameElement
2022-04-03	0.0	kHTMLFencedFrameElement
2022-04-04	9.999999999999999e-05	kHTMLFencedFrameElement
2022-04-05	1e-06	kHTMLFencedFrameElement
2022-04-06	0.0	kHTMLFencedFrameElement
2022-04-07	1e-06	kHTMLFencedFrameElement
2022-04-08	2e-06	kHTMLFencedFrameElement
2022-04-11	0.0	kHTMLFencedFrameElement
2022-04-12	0.0	kHTMLFencedFrameElement
2022-04-13	0.0006000000000000001	kHTMLFencedFrameElement
2022-04-14	0.0015000000000000002	kHTMLFencedFrameElement
2022-04-15	0.0	kHTMLFencedFrameElement
2022-04-17	0.0	kHTMLFencedFrameElement
2022-04-18	9.999999999999999e-05	kHTMLFencedFrameElement
2022-04-19	0.0	kHTMLFencedFrameElement
2022-04-20	1e-06	kHTMLFencedFrameElement
2022-04-21	0.0	kHTMLFencedFrameElement
2022-04-22	1e-06	kHTMLFencedFrameElement
2022-04-23	0.0	kHTMLFencedFrameElement
2022-04-25	1e-06	kHTMLFencedFrameElement
2022-04-26	0.0	kHTMLFencedFrameElement
2022-04-27	0.0	kHTMLFencedFrameElement
2022-04-28	0.0	kHTMLFencedFrameElement
2022-04-29	0.0	kHTMLFencedFrameElement
2022-04-30	0.0	kHTMLFencedFrameElement
2022-05-02	1e-06	kHTMLFencedFrameElement
2022-05-03	3.0000000000000005e-06	kHTMLFencedFrameElement
2022-05-04	1e-06	kHTMLFencedFrameElement
2022-05-05	0.0	kHTMLFencedFrameElement
2022-05-06	1e-06	kHTMLFencedFrameElement
2022-05-08	0.0	kHTMLFencedFrameElement
2022-05-09	0.0	kHTMLFencedFrameElement
2022-05-10	0.0	kHTMLFencedFrameElement
2022-05-11	0.0	kHTMLFencedFrameElement
2022-05-12	0.0	kHTMLFencedFrameElement
2022-05-13	0.0	kHTMLFencedFrameElement
2022-05-15	0.0	kHTMLFencedFrameElement
2022-05-17	0.00039999999999999996	kHTMLFencedFrameElement
2022-05-18	0.0	kHTMLFencedFrameElement
2022-05-19	0.0	kHTMLFencedFrameElement
2022-05-20	0.0	kHTMLFencedFrameElement
2022-05-22	0.0	kHTMLFencedFrameElement
2022-05-23	9.999999999999999e-05	kHTMLFencedFrameElement
2022-05-24	0.0	kHTMLFencedFrameElement
2022-05-25	0.0	kHTMLFencedFrameElement
2022-05-26	0.0	kHTMLFencedFrameElement
2022-05-27	0.0	kHTMLFencedFrameElement
2022-05-28	0.0	kHTMLFencedFrameElement
2022-05-30	0.0	kHTMLFencedFrameElement
2022-05-31	0.1404	kHTMLFencedFrameElement
2022-06-01	0.1519	kHTMLFencedFrameElement
2022-06-02	0.15009999999999998	kHTMLFencedFrameElement
2022-06-03	0.1416	kHTMLFencedFrameElement
2022-06-04	0.1104	kHTMLFencedFrameElement
2022-06-05	0.1132	kHTMLFencedFrameElement
2022-06-06	0.1507	kHTMLFencedFrameElement
2022-06-07	0.14709999999999998	kHTMLFencedFrameElement
