date	day_percentage	feature
2022-03-31	0.0015000000000000002	kFledge
2022-04-01	9.999999999999999e-05	kFledge
2022-04-04	0.0	kFledge
2022-04-06	0.0	kFledge
2022-04-07	0.0	kFledge
2022-04-08	0.00019999999999999998	kFledge
2022-04-12	0.0	kFledge
2022-04-13	9.999999999999999e-05	kFledge
2022-04-14	0.0	kFledge
2022-04-19	0.00019999999999999998	kFledge
2022-04-20	0.0006000000000000001	kFledge
2022-04-21	0.0005	kFledge
2022-04-22	0.0007	kFledge
2022-04-23	0.0007	kFledge
2022-04-24	0.0006000000000000001	kFledge
2022-04-25	0.0005	kFledge
2022-04-26	0.00030000000000000003	kFledge
2022-04-27	0.0007	kFledge
2022-04-28	0.00030000000000000003	kFledge
2022-04-29	9.999999999999999e-05	kFledge
2022-04-30	0.0034	kFledge
2022-05-01	0.004900000000000001	kFledge
2022-05-02	0.0057	kFledge
2022-05-03	0.005200000000000001	kFledge
2022-05-04	0.0053	kFledge
2022-05-05	0.004	kFledge
2022-05-06	0.0033000000000000004	kFledge
2022-05-07	0.0259	kFledge
2022-05-08	0.026600000000000002	kFledge
2022-05-09	0.0312	kFledge
2022-05-10	0.0409	kFledge
2022-05-11	0.0447	kFledge
2022-05-12	0.0515	kFledge
2022-05-13	0.05109999999999999	kFledge
2022-05-14	0.0475	kFledge
2022-05-15	0.0416	kFledge
2022-05-16	0.059199999999999996	kFledge
2022-05-17	0.050199999999999995	kFledge
2022-05-18	0.0692	kFledge
2022-05-19	0.12669999999999998	kFledge
2022-05-20	0.1478	kFledge
2022-05-21	0.1676	kFledge
2022-05-22	0.1846	kFledge
2022-05-23	0.33209999999999995	kFledge
2022-05-24	0.30800000000000005	kFledge
2022-05-25	0.0696	kFledge
2022-05-26	0.0225	kFledge
2022-05-27	0.47250000000000003	kFledge
2022-05-28	0.5178999999999999	kFledge
2022-05-29	0.5208	kFledge
2022-05-30	0.6591	kFledge
2022-05-31	0.6437	kFledge
2022-06-01	0.6245999999999999	kFledge
2022-06-02	0.6228999999999999	kFledge
2022-06-03	0.5930000000000001	kFledge
2022-06-04	0.531	kFledge
2022-06-05	0.5416	kFledge
2022-06-06	0.6688999999999999	kFledge
2022-06-07	0.6494	kFledge
2022-06-08	0.6436	kFledge
2022-06-09	0.642	kFledge
