date	day_percentage	feature
2020-01-29	0.0	kClientHintsUA
2020-01-30	0.0	kClientHintsUA
2020-01-31	9.999999999999999e-05	kClientHintsUA
2020-02-02	0.0	kClientHintsUA
2020-02-03	0.0	kClientHintsUA
2020-02-04	9.999999999999999e-05	kClientHintsUA
2020-02-05	0.0	kClientHintsUA
2020-02-06	0.0	kClientHintsUA
2020-02-10	0.0	kClientHintsUA
2020-02-11	2e-06	kClientHintsUA
2020-02-18	1e-06	kClientHintsUA
2020-02-19	1e-06	kClientHintsUA
2020-02-20	2e-06	kClientHintsUA
2020-02-21	1e-06	kClientHintsUA
2020-02-22	0.0	kClientHintsUA
2020-02-24	0.0	kClientHintsUA
2020-02-25	0.0	kClientHintsUA
2020-02-26	0.0	kClientHintsUA
2020-02-27	0.0	kClientHintsUA
2020-02-28	0.0	kClientHintsUA
2020-02-29	2e-06	kClientHintsUA
2020-03-01	1e-06	kClientHintsUA
2020-03-02	2e-06	kClientHintsUA
2020-03-03	1e-06	kClientHintsUA
2020-03-04	2e-06	kClientHintsUA
2020-03-05	2e-06	kClientHintsUA
2020-03-06	1e-06	kClientHintsUA
2020-03-07	0.0	kClientHintsUA
2020-03-09	2e-06	kClientHintsUA
2020-03-10	1e-06	kClientHintsUA
2020-03-11	1e-06	kClientHintsUA
2020-03-12	0.0	kClientHintsUA
2020-03-13	2e-06	kClientHintsUA
2020-03-14	0.0	kClientHintsUA
2020-03-16	0.0	kClientHintsUA
2020-03-17	0.0	kClientHintsUA
2020-03-18	1e-06	kClientHintsUA
2020-03-19	2e-06	kClientHintsUA
2020-03-20	2e-06	kClientHintsUA
2020-03-23	0.0	kClientHintsUA
2020-03-24	0.0	kClientHintsUA
2020-03-25	0.0	kClientHintsUA
2020-03-26	0.0	kClientHintsUA
2020-03-27	1e-06	kClientHintsUA
2020-03-30	0.0	kClientHintsUA
2020-03-31	0.0	kClientHintsUA
2020-04-01	0.0	kClientHintsUA
2020-04-02	1.1e-05	kClientHintsUA
2020-04-03	0.0	kClientHintsUA
2020-04-06	1e-06	kClientHintsUA
2020-04-07	3.0000000000000005e-06	kClientHintsUA
2020-04-08	3.0000000000000005e-06	kClientHintsUA
2020-04-09	4.9999999999999996e-06	kClientHintsUA
2020-04-12	0.0	kClientHintsUA
2020-04-13	0.0	kClientHintsUA
2020-04-21	0.0	kClientHintsUA
2020-04-24	0.0	kClientHintsUA
2020-04-29	0.0	kClientHintsUA
2020-05-04	0.0	kClientHintsUA
2020-05-05	0.0	kClientHintsUA
2020-05-07	1e-06	kClientHintsUA
2020-05-12	0.0	kClientHintsUA
2020-05-14	0.0	kClientHintsUA
2020-05-16	0.0	kClientHintsUA
2020-05-21	0.0	kClientHintsUA
2020-05-24	0.0	kClientHintsUA
2020-05-26	0.0	kClientHintsUA
2020-05-27	9.999999999999999e-06	kClientHintsUA
2020-05-28	3.0000000000000005e-06	kClientHintsUA
2020-05-29	0.0	kClientHintsUA
2020-05-30	0.0	kClientHintsUA
2020-05-31	4e-06	kClientHintsUA
2020-06-02	2e-06	kClientHintsUA
2020-06-03	9.999999999999999e-05	kClientHintsUA
2020-06-04	0.00019999999999999998	kClientHintsUA
2020-06-10	9.999999999999999e-05	kClientHintsUA
2020-06-11	0.00030000000000000003	kClientHintsUA
2020-06-12	9.999999999999999e-05	kClientHintsUA
2020-06-13	0.00019999999999999998	kClientHintsUA
2020-06-14	9.999999999999999e-05	kClientHintsUA
2020-06-15	4.9999999999999996e-06	kClientHintsUA
2020-06-16	1e-06	kClientHintsUA
2020-06-17	1e-06	kClientHintsUA
2020-06-18	0.00019999999999999998	kClientHintsUA
2020-06-19	9.999999999999999e-05	kClientHintsUA
2020-06-20	9.999999999999999e-05	kClientHintsUA
2020-06-21	0.00019999999999999998	kClientHintsUA
2020-06-22	0.00019999999999999998	kClientHintsUA
2020-06-23	9.999999999999999e-05	kClientHintsUA
2020-06-24	2e-06	kClientHintsUA
2020-06-25	9.999999999999999e-05	kClientHintsUA
2020-06-26	0.0	kClientHintsUA
2020-06-27	0.0	kClientHintsUA
2020-06-28	9.999999999999999e-05	kClientHintsUA
2020-06-29	9.999999999999999e-05	kClientHintsUA
2020-06-30	9.999999999999999e-05	kClientHintsUA
2020-07-01	9.999999999999999e-05	kClientHintsUA
2020-07-02	9.999999999999999e-05	kClientHintsUA
2020-07-03	0.0	kClientHintsUA
2020-07-04	0.0	kClientHintsUA
2020-07-05	9.999999999999999e-05	kClientHintsUA
2020-07-06	9.999999999999999e-05	kClientHintsUA
2020-07-07	9.999999999999999e-05	kClientHintsUA
2020-07-08	9.999999999999999e-05	kClientHintsUA
2020-07-09	9.999999999999999e-05	kClientHintsUA
2020-07-10	0.0	kClientHintsUA
2020-07-11	0.0	kClientHintsUA
2020-07-12	9.999999999999999e-05	kClientHintsUA
2020-07-13	9.999999999999999e-05	kClientHintsUA
2020-07-14	0.0	kClientHintsUA
2020-07-15	0.0	kClientHintsUA
2020-07-16	0.0	kClientHintsUA
2020-07-19	3.0000000000000005e-06	kClientHintsUA
2020-07-20	2e-06	kClientHintsUA
2020-07-21	1e-06	kClientHintsUA
2020-07-22	1e-06	kClientHintsUA
2020-07-23	1e-06	kClientHintsUA
2020-07-24	9.999999999999999e-05	kClientHintsUA
2020-07-25	0.00030000000000000003	kClientHintsUA
2020-07-26	9.999999999999999e-05	kClientHintsUA
2020-07-27	0.00019999999999999998	kClientHintsUA
2020-07-28	9.999999999999999e-05	kClientHintsUA
2020-07-29	9.999999999999999e-05	kClientHintsUA
2020-07-30	9.999999999999999e-05	kClientHintsUA
2020-07-31	9.999999999999999e-05	kClientHintsUA
2020-08-01	0.0	kClientHintsUA
2020-08-02	0.00019999999999999998	kClientHintsUA
2020-08-03	9.999999999999999e-05	kClientHintsUA
2020-08-04	9.999999999999999e-05	kClientHintsUA
2020-08-05	9.999999999999999e-05	kClientHintsUA
2020-08-06	9.999999999999999e-05	kClientHintsUA
2020-08-07	0.0	kClientHintsUA
2020-08-08	0.0	kClientHintsUA
2020-08-09	9.999999999999999e-05	kClientHintsUA
2020-08-10	9.999999999999999e-05	kClientHintsUA
2020-08-11	0.0	kClientHintsUA
2020-08-12	9.999999999999999e-05	kClientHintsUA
2020-08-13	9.999999999999999e-05	kClientHintsUA
